Time(t),Acceleration(a),Velocity(v),Height(x)
48,20,0,196,-0,185,-0,433
48,40,0,216,-0,142,-0,465
48,60,0,233,-0,095,-0,489
48,80,0,244,-0,046,-0,503
49,00,0,252,0,004,-0,507
49,20,0,254,0,055,-0,501
49,40,0,251,0,105,-0,485
49,60,0,243,0,154,-0,459
49,80,0,230,0,200,-0,424
50,00,0,212,0,242,-0,380
50,20,0,190,0,280,-0,328
50,40,0,164,0,313,-0,269
50,60,0,134,0,340,-0,203
50,80,0,102,0,360,-0,133
51,00,0,067,0,373,-0,060
51,20,0,030,0,379,0,015
51,40,-0,008,0,378,0,091
51,60,-0,045,0,369,0,166
51,80,-0,083,0,352,0,238
52,00,-0,119,0,328,0,306
52,20,-0,153,0,298,0,368
52,40,-0,184,0,261,0,424
52,60,-0,212,0,219,0,472
52,80,-0,236,0,171,0,511
53,00,-0,256,0,120,0,540
53,20,-0,270,0,066,0,559
53,40,-0,279,0,010,0,567
53,60,-0,283,-0,046,0,563
53,80,-0,281,-0,103,0,548
54,00,-0,274,-0,157,0,522
54,20,-0,261,-0,210,0,485
54,40,-0,243,-0,258,0,439
54,60,-0,219,-0,302,0,382
54,80,-0,191,-0,340,0,318
55,00,-0,159,-0,372,0,247
55,20,-0,123,-0,397,0,170
55,40,-0,085,-0,414,0,089
55,60,-0,045,-0,423,0,005
55,80,-0,003,-0,423,-0,079
56,00,0,040,-0,415,-0,163
56,20,0,082,-0,399,-0,245
56,40,0,122,-0,375,-0,322
56,60,0,161,-0,342,-0,394
56,80,0,197,-0,303,-0,458
57,00,0,229,-0,257,-0,514
57,20,0,257,-0,206,-0,561
57,40,0,280,-0,150,-0,596
57,60,0,298,-0,090,-0,620
57,80,0,310,-0,028,-0,632
58,00,0,316,0,035,-0,631
58,20,0,316,0,098,-0,618
58,40,0,309,0,160,-0,592
58,60,0,296,0,219,-0,554
58,80,0,277,0,275,-0,505
59,00,0,252,0,325,-0,445
59,20,0,222,0,370,-0,375
59,40,0,188,0,407,-0,298
59,60,0,149,0,437,-0,213
59,80,0,107,0,458,-0,124
60,00,0,062,0,471,-0,031
60,20,0,015,0,474,0,063
60,40,-0,032,0,467,0,158
60,60,-0,079,0,452,0,249
60,80,-0,125,0,427,0,337
61,00,-0,169,0,393,0,419
61,20,-0,210,0,351,0,494
61,40,-0,247,0,302,0,559
61,60,-0,279,0,246,0,614
61,80,-0,307,0,184,0,657
62,00,-0,328,0,119,0,687
62,20,-0,343,0,050,0,704
62,40,-0,352,-0,020,0,707
62,60,-0,353,-0,091,0,696
62,80,-0,348,-0,161,0,670
63,00,-0,335,-0,228,0,632
63,20,-0,316,-0,291,0,580
63,40,-0,290,-0,349,0,516
63,60,-0,258,-0,400,0,441
63,80,-0,220,-0,444,0,356
64,00,-0,178,-0,480,0,264
64,20,-0,132,-0,506,0,165
64,40,-0,083,-0,523,0,062
